date,Realized_SPX,Realized_SX5E
20181226,30.153927546289466,18.62316968719397
20181224,24.807123928958234,18.63648753172907
20181221,23.002715352575184,18.37530172644711
20181220,21.8447278467851,18.61926778787515
20181219,21.16533403920169,18.15589768531021
20181218,21.432440042132683,18.758190253217517
20181217,21.961694372262013,19.02576060663464
20181214,20.99667144979381,18.444064595679215
20181213,20.239094514774923,18.386583121563053
20181212,20.409323809054705,18.499833828360362
20181211,20.329754498467548,17.838806349049595
20181210,20.831415131019476,17.72151057183012
20181207,21.694994016086174,17.0879628237918
20181206,20.115052766395493,17.052664856984308
20181205,21.382045647553635,13.114133535543413
20181204,21.49102437733758,12.449256477478931
20181203,18.670081580923323,12.433480952261146
20181130,18.064451791061813,11.310722463626279
20181129,18.209491686460456,11.333383224562953
20181128,18.573717295431553,12.58176846254348
20181127,17.6655270600134,12.609297022073088
20181126,18.064835199315297,12.901467809444455
20181123,18.004187536521947,12.5990112652337
20181122,18.969069383097768,13.093425630711991
20181121,21.857963156831648,12.797744493859508
20181120,21.916395676383047,13.237431842126895
20181119,21.495715956735406,12.606637314522523
20181116,20.21151356719903,12.305605444963179
20181115,20.81180707102804,12.71886795020336
20181114,20.48933484696199,12.705180077829143
20181113,21.614050276120196,13.503385753720732
20181112,22.14155404948152,13.412658466568885
20181109,21.153692861537156,12.739073404162701
20181108,22.115268500457354,14.129687048881095
20181107,24.946462022695457,15.235720403391786
20181106,23.868652737726094,14.711232251636334
20181105,24.357593217330688,15.034379201544196
20181102,23.769808451475306,15.438323096468704
20181101,23.83820847315466,15.709176807491001
20181031,23.560235687723946,15.782261285547921
20181030,23.262101101346587,15.012784276542646
20181029,23.189063231398524,15.35841167221237
20181026,22.550253730991706,15.756894908356331
20181025,21.743170613231236,15.509705056485396
20181024,20.813534879215183,15.110137224049986
20181023,17.761276079078264,15.094366206809129
20181022,18.09383665634109,14.451809137026334
20181019,17.637291036880132,14.353075453251968
20181018,17.843147237412513,14.781967503811913
20181017,17.127413340283155,14.427885442794624
20181016,17.22734155445778,14.404257100956361
20181015,15.957059647442891,13.830215623383305
20181012,15.557828816750362,13.435024540240443
20181011,14.882812339113208,13.35983588639578
20181010,13.025291096387855,11.949793876939905
20181009,6.110004423798814,10.46631946905244
20181008,6.240598203039351,10.646661532216944
20181005,6.171900034150774,9.84563941391706
20181004,6.00096145934093,9.58606516886787
20181003,5.374223579917335,10.141777577878198
20181002,5.399122785177143,10.648262538743584
20181001,5.530662068210055,10.590366101391577
20180928,5.248685270713877,10.931708389415483
20180927,5.469410335911499,9.985402327462122
20180926,5.734049158424083,9.881334069863993
20180925,5.620092205435377,9.825025762920687
20180924,5.7401935184481045,10.02074069315843
20180921,6.440603481629006,10.016596209910688
20180920,6.465979014326151,9.615635069718726
20180919,5.874384362820276,8.983555911014125
20180918,5.901910679811357,9.109148590408108
20180917,5.741208134841794,9.242040321302635
20180914,5.447464616790858,9.27654642381447
20180913,6.093665298409226,9.400850131706475
20180912,6.38673936667035,10.696103076186676
20180911,6.755942318289787,10.581868139751945
20180910,6.794790481962462,10.840184748253384
20180907,7.182552319860434,12.573652590536726
20180906,7.158889211609826,12.570813112684394
20180905,7.046374035094232,12.446432625959067
20180904,7.047000651619944,11.775667295426873
20180903,7.197070951799535,11.470599345412179
20180831,7.307838713800116,11.269417301439647
20180830,7.503365608166086,11.306219689560185
20180829,7.352874167595756,11.135490538289208
20180828,7.282547591563189,11.177864210912816
20180827,7.461778687235575,11.420971157089415
20180824,7.430904349685523,11.00968910346348
20180823,7.193216829738228,11.702459149192029
20180822,7.826199961236184,11.795428251960464
20180821,7.9975121511511205,12.121245476803924
20180820,8.162118201073136,12.277978802478684
20180817,7.953291025188827,11.864688632874117
20180816,7.988527737603423,11.930530945310515
20180815,7.543772505600222,12.09547989595271
20180814,7.1977394143509414,10.974561619800737
20180813,7.020460821808381,11.245551501807432
20180810,6.728520986889225,10.896600343072972
20180809,6.947114564017484,8.834146847773223
20180808,7.354931876941316,10.210546274415302
20180807,7.451800330786557,10.23582243443253
20180806,7.569918164203009,10.267824345365863
20180803,8.420028116530027,10.120046436165211
20180802,8.784218155213894,10.450741778536006
