date,value,item,name
20171031,2575.26,level,SPX
20171101,2579.36,level,SPX
20171102,2579.85,level,SPX
20171103,2587.84,level,SPX
20171106,2591.13,level,SPX
20171107,2590.64,level,SPX
20171108,2594.38,level,SPX
20171109,2584.62,level,SPX
20171110,2582.3,level,SPX
20171113,2584.84,level,SPX
20171114,2578.87,level,SPX
20171115,2564.62,level,SPX
20171116,2585.64,level,SPX
20171117,2578.85,level,SPX
20171120,2582.14,level,SPX
20171121,2599.03,level,SPX
20171122,2597.08,level,SPX
20171124,2602.42,level,SPX
20171127,2601.42,level,SPX
20171128,2627.04,level,SPX
20171129,2626.07,level,SPX
20171130,2647.58,level,SPX
20171201,2642.22,level,SPX
20171204,2639.44,level,SPX
20171205,2629.57,level,SPX
20171206,2629.27,level,SPX
20171207,2636.98,level,SPX
20171208,2651.5,level,SPX
20171211,2659.99,level,SPX
20171212,2664.11,level,SPX
20171213,2662.85,level,SPX
20171214,2652.01,level,SPX
20171215,2675.81,level,SPX
20171218,2690.16,level,SPX
20171219,2681.47,level,SPX
20171220,2679.25,level,SPX
20171221,2684.57,level,SPX
20171222,2683.34,level,SPX
20171226,2680.5,level,SPX
20171227,2682.62,level,SPX
20171228,2687.54,level,SPX
20171229,2673.61,level,SPX
20180102,2695.81,level,SPX
20180103,2713.06,level,SPX
20180104,2723.99,level,SPX
20180105,2743.15,level,SPX
20180108,2747.71,level,SPX
20180109,2751.29,level,SPX
20180110,2748.23,level,SPX
20180111,2767.56,level,SPX
20180112,2786.24,level,SPX
20180116,2776.42,level,SPX
20180117,2802.56,level,SPX
20180118,2798.03,level,SPX
20180119,2810.3,level,SPX
20180122,2832.97,level,SPX
20180123,2839.13,level,SPX
20180124,2837.54,level,SPX
20180125,2839.25,level,SPX
20180126,2872.87,level,SPX
20180129,2853.53,level,SPX
20180130,2822.43,level,SPX
20180131,2823.81,level,SPX
20180201,2821.98,level,SPX
20180202,2762.13,level,SPX
20180205,2648.94,level,SPX
20180206,2695.14,level,SPX
20180207,2681.66,level,SPX
20180208,2581.0,level,SPX
20180209,2619.55,level,SPX
20180212,2656.0,level,SPX
20180213,2662.94,level,SPX
20180214,2698.63,level,SPX
20180215,2731.2,level,SPX
20180216,2732.22,level,SPX
20180220,2716.26,level,SPX
20180221,2701.33,level,SPX
20180222,2703.96,level,SPX
20180223,2747.3,level,SPX
20180226,2779.6,level,SPX
20180227,2744.28,level,SPX
20180228,2713.83,level,SPX
20180301,2677.67,level,SPX
20180302,2691.25,level,SPX
20180305,2720.94,level,SPX
20180306,2728.12,level,SPX
20180307,2726.8,level,SPX
20180308,2738.97,level,SPX
20180309,2786.57,level,SPX
20180312,2783.02,level,SPX
20180313,2765.31,level,SPX
20180314,2749.48,level,SPX
20180315,2747.33,level,SPX
20180316,2752.01,level,SPX
20180319,2712.92,level,SPX
20180320,2716.94,level,SPX
20180321,2711.93,level,SPX
20180322,2643.69,level,SPX
20180323,2588.26,level,SPX
20180326,2658.55,level,SPX
20180327,2612.62,level,SPX
20180328,2605.0,level,SPX
20180329,2640.87,level,SPX
20180402,2581.88,level,SPX
20180403,2614.45,level,SPX
20180404,2644.69,level,SPX
