date,SPX,STOXX50E
20180502,0.15278699999999998,0.130417
20180501,0.146544,0.132243
20180430,0.150765,0.132243
20180427,0.149866,0.136552
20180426,0.15666300000000002,0.140439
20180425,0.170323,0.14804900000000001
20180424,0.172166,0.13414
20180423,0.157185,0.13326500000000002
20180420,0.164947,0.14144400000000001
20180419,0.150428,0.129104
20180418,0.14464200000000002,0.129104
20180417,0.143451,0.130909
20180416,0.15456099999999998,0.14109100000000002
20180413,0.166947,0.153508
20180412,0.175645,0.155624
20180411,0.190054,0.168984
20180410,0.192657,0.16076500000000002
20180409,0.21043499999999998,0.1682
20180406,0.21246199999999998,0.171071
20180405,0.183278,0.16924
20180404,0.193217,0.192048
20180403,0.200959,0.184533
20180402,0.222348,0.18418199999999998
20180329,0.196644,0.18418199999999998
20180328,0.222561,0.198694
20180327,0.22329200000000002,0.19481500000000002
20180326,0.20520100000000002,0.22191799999999998
20180323,0.259157,0.216494
20180322,0.228713,0.190418
20180321,0.170734,0.15326199999999998
20180320,0.177459,0.154551
20180319,0.182349,0.16414700000000002
20180316,0.145299,0.143001
20180315,0.15018800000000002,0.160638
20180314,0.15625899999999998,0.168438
20180313,0.151171,0.163461
20180312,0.142647,0.152477
20180309,0.137268,0.157652
20180308,0.157374,0.169526
20180307,0.163509,0.17971199999999998
20180306,0.166283,0.183108
20180305,0.165615,0.186278
20180302,0.181005,0.23517399999999997
20180301,0.20540799999999998,0.200408
20180228,0.181858,0.175763
20180227,0.171872,0.168209
20180226,0.144819,0.161139
20180223,0.15449200000000002,0.17937
20180222,0.17640799999999998,0.182256
20180221,0.188771,0.17999300000000001
20180220,0.190138,0.177679
20180219,0.187077,0.18471500000000002
20180216,0.187077,0.174178
20180215,0.189201,0.201024
20180214,0.19639600000000002,0.203774
20180213,0.22916399999999998,0.252137
20180212,0.22629200000000002,0.274564
20180209,0.287511,0.335362
20180208,0.345378,0.297511
20180207,0.23861,0.20695500000000003
20180206,0.267372,0.281445
20180205,0.294962,0.17805
20180202,0.166103,0.168233
20180201,0.135642,0.154226
20180131,0.134022,0.142603
20180130,0.14244600000000002,0.139426
20180129,0.13219,0.121002
20180126,0.113472,0.12425599999999999
20180125,0.11569000000000002,0.12444200000000001
20180124,0.11393299999999999,0.122427
20180123,0.107072,0.115097
20180122,0.10688199999999999,0.114352
20180119,0.10841400000000001,0.117846
20180118,0.110953,0.117692
20180117,0.108195,0.118145
20180116,0.10963599999999998,0.110614
20180115,0.099534,0.106852
20180112,0.099534,0.10856099999999999
20180111,0.098871,0.109707
20180110,0.095935,0.112248
20180109,0.096215,0.106004
20180108,0.089912,0.10696099999999999
20180105,0.091976,0.108794
20180104,0.090088,0.11065499999999999
20180103,0.090863,0.11694700000000001
20180102,0.09272000000000001,0.128895
20171229,0.11165499999999999,0.135684
20171228,0.099787,0.133746
20171227,0.100632,0.125912
