date,value,item,name,tenor
20170816,0.115676,varswap,SPX,1m
20170817,0.155111,varswap,SPX,1m
20170818,0.145268,varswap,SPX,1m
20170821,0.132816,varswap,SPX,1m
20170822,0.112092,varswap,SPX,1m
20170823,0.121121,varswap,SPX,1m
20170824,0.1225,varswap,SPX,1m
20170825,0.113668,varswap,SPX,1m
20170828,0.108731,varswap,SPX,1m
20170829,0.112523,varswap,SPX,1m
20170830,0.110626,varswap,SPX,1m
20170831,0.107263,varswap,SPX,1m
20170901,0.099672,varswap,SPX,1m
20170905,0.118897,varswap,SPX,1m
20170906,0.108582,varswap,SPX,1m
20170907,0.108881,varswap,SPX,1m
20170908,0.116167,varswap,SPX,1m
20170911,0.096381,varswap,SPX,1m
20170912,0.095845,varswap,SPX,1m
20170913,0.09487,varswap,SPX,1m
20170914,0.094148,varswap,SPX,1m
20170915,0.093266,varswap,SPX,1m
20170918,0.089282,varswap,SPX,1m
20170919,0.093429,varswap,SPX,1m
20170920,0.091728,varswap,SPX,1m
20170921,0.093986,varswap,SPX,1m
20170922,0.093023,varswap,SPX,1m
20170925,0.096114,varswap,SPX,1m
20170926,0.09578,varswap,SPX,1m
20170927,0.095165,varswap,SPX,1m
20170928,0.090931,varswap,SPX,1m
20170929,0.089902,varswap,SPX,1m
20171002,0.08701,varswap,SPX,1m
20171003,0.090304,varswap,SPX,1m
20171004,0.089892,varswap,SPX,1m
20171005,0.087529,varswap,SPX,1m
20171006,0.087399,varswap,SPX,1m
20171009,0.092554,varswap,SPX,1m
20171010,0.092344,varswap,SPX,1m
20171011,0.089661,varswap,SPX,1m
20171012,0.09177,varswap,SPX,1m
20171013,0.091714,varswap,SPX,1m
20171016,0.087596,varswap,SPX,1m
20171017,0.09372,varswap,SPX,1m
20171018,0.093715,varswap,SPX,1m
20171019,0.095222,varswap,SPX,1m
20171020,0.100371,varswap,SPX,1m
20171023,0.108021,varswap,SPX,1m
20171024,0.110207,varswap,SPX,1m
20171025,0.116374,varswap,SPX,1m
20171026,0.116828,varswap,SPX,1m
20171027,0.103376,varswap,SPX,1m
20171030,0.102857,varswap,SPX,1m
20171031,0.100807,varswap,SPX,1m
20171101,0.101464,varswap,SPX,1m
20171102,0.098363,varswap,SPX,1m
20171103,0.090452,varswap,SPX,1m
20171106,0.090647,varswap,SPX,1m
20171107,0.096273,varswap,SPX,1m
20171108,0.094274,varswap,SPX,1m
20171109,0.105708,varswap,SPX,1m
20171110,0.109559,varswap,SPX,1m
20171113,0.109204,varswap,SPX,1m
20171114,0.114919,varswap,SPX,1m
20171115,0.130661,varswap,SPX,1m
20171116,0.118699,varswap,SPX,1m
20171117,0.11477,varswap,SPX,1m
20171120,0.102724,varswap,SPX,1m
20171121,0.093822,varswap,SPX,1m
20171122,0.093902,varswap,SPX,1m
20171124,0.092699,varswap,SPX,1m
20171127,0.092107,varswap,SPX,1m
20171128,0.096775,varswap,SPX,1m
20171129,0.102622,varswap,SPX,1m
20171130,0.10703,varswap,SPX,1m
20171201,0.112937,varswap,SPX,1m
20171204,0.107921,varswap,SPX,1m
20171205,0.108521,varswap,SPX,1m
20171206,0.11023,varswap,SPX,1m
20171207,0.102298,varswap,SPX,1m
20171208,0.094977,varswap,SPX,1m
20171211,0.08986,varswap,SPX,1m
20171212,0.096364,varswap,SPX,1m
20171213,0.098344,varswap,SPX,1m
20171214,0.106094,varswap,SPX,1m
20171215,0.096717,varswap,SPX,1m
20171218,0.096132,varswap,SPX,1m
20171219,0.102703,varswap,SPX,1m
20171220,0.100926,varswap,SPX,1m
20171221,0.101398,varswap,SPX,1m
20171222,0.102755,varswap,SPX,1m
20171226,0.101812,varswap,SPX,1m
20171227,0.100632,varswap,SPX,1m
20171228,0.099787,varswap,SPX,1m
20171229,0.111655,varswap,SPX,1m
20180102,0.09272,varswap,SPX,1m
20180103,0.090863,varswap,SPX,1m
20180104,0.090088,varswap,SPX,1m
20180105,0.091976,varswap,SPX,1m
20180108,0.089912,varswap,SPX,1m
20180109,0.096215,varswap,SPX,1m
20180110,0.095935,varswap,SPX,1m
20180111,0.098871,varswap,SPX,1m
20180112,0.099534,varswap,SPX,1m
20180116,0.109636,varswap,SPX,1m
20180117,0.108195,varswap,SPX,1m
20180118,0.110953,varswap,SPX,1m
20180119,0.108414,varswap,SPX,1m
20180122,0.106882,varswap,SPX,1m
20180123,0.107072,varswap,SPX,1m
20180124,0.113933,varswap,SPX,1m
20180125,0.11569,varswap,SPX,1m
20180126,0.113472,varswap,SPX,1m
20180129,0.13219,varswap,SPX,1m
20180130,0.142446,varswap,SPX,1m
20180131,0.134022,varswap,SPX,1m
20180201,0.135642,varswap,SPX,1m
20180202,0.166103,varswap,SPX,1m
20180205,0.294962,varswap,SPX,1m
20180206,0.267372,varswap,SPX,1m
20180207,0.23861,varswap,SPX,1m
20180208,0.345378,varswap,SPX,1m
20180209,0.287511,varswap,SPX,1m
20180212,0.226292,varswap,SPX,1m
20180213,0.229164,varswap,SPX,1m
20180214,0.196396,varswap,SPX,1m
20180215,0.189201,varswap,SPX,1m
20180216,0.187077,varswap,SPX,1m
20180220,0.190138,varswap,SPX,1m
20180221,0.188771,varswap,SPX,1m
20180222,0.176408,varswap,SPX,1m
20180223,0.154492,varswap,SPX,1m
20180226,0.144819,varswap,SPX,1m
20180227,0.171872,varswap,SPX,1m
20180228,0.181858,varswap,SPX,1m
20180301,0.205408,varswap,SPX,1m
20180302,0.181005,varswap,SPX,1m
20180305,0.165615,varswap,SPX,1m
20180306,0.166283,varswap,SPX,1m
20180307,0.163509,varswap,SPX,1m
20180308,0.157374,varswap,SPX,1m
20180309,0.137268,varswap,SPX,1m
20180312,0.142647,varswap,SPX,1m
20180313,0.151171,varswap,SPX,1m
20180314,0.156259,varswap,SPX,1m
20180315,0.150188,varswap,SPX,1m
20180316,0.145299,varswap,SPX,1m
20180319,0.182349,varswap,SPX,1m
20180320,0.177459,varswap,SPX,1m
20180321,0.170734,varswap,SPX,1m
20180322,0.228713,varswap,SPX,1m
20180323,0.259157,varswap,SPX,1m
20180326,0.205201,varswap,SPX,1m
20180327,0.223292,varswap,SPX,1m
20180328,0.222561,varswap,SPX,1m
20180329,0.196644,varswap,SPX,1m
20180402,0.222348,varswap,SPX,1m
20180403,0.200959,varswap,SPX,1m
20180404,0.193217,varswap,SPX,1m
20180405,0.183278,varswap,SPX,1m
20180406,0.212462,varswap,SPX,1m
20180409,0.210435,varswap,SPX,1m
20180410,0.192657,varswap,SPX,1m
20180411,0.190054,varswap,SPX,1m
20180412,0.175645,varswap,SPX,1m
20180413,0.166947,varswap,SPX,1m
20180416,0.154561,varswap,SPX,1m
20180417,0.143451,varswap,SPX,1m
20180418,0.144642,varswap,SPX,1m
20180419,0.150428,varswap,SPX,1m
20180420,0.164947,varswap,SPX,1m
20180423,0.157185,varswap,SPX,1m
20180424,0.172166,varswap,SPX,1m
20180425,0.170323,varswap,SPX,1m
20180426,0.156663,varswap,SPX,1m
20180427,0.149866,varswap,SPX,1m
20180430,0.150765,varswap,SPX,1m
20180501,0.146544,varswap,SPX,1m
20180502,0.152787,varswap,SPX,1m
20180503,0.158321,varswap,SPX,1m
20180504,0.143664,varswap,SPX,1m
20180507,0.141062,varswap,SPX,1m
20180508,0.141143,varswap,SPX,1m
20180509,0.131729,varswap,SPX,1m
20180510,0.124091,varswap,SPX,1m
20180511,0.123013,varswap,SPX,1m
20180514,0.123291,varswap,SPX,1m
20180515,0.135168,varswap,SPX,1m
20180516,0.128613,varswap,SPX,1m
20180517,0.130222,varswap,SPX,1m
20180518,0.130593,varswap,SPX,1m
20180521,0.123097,varswap,SPX,1m
20180522,0.124227,varswap,SPX,1m
20180523,0.118673,varswap,SPX,1m
20180524,0.117764,varswap,SPX,1m
20180525,0.122888,varswap,SPX,1m
20180529,0.152665,varswap,SPX,1m
20180530,0.133675,varswap,SPX,1m
20180531,0.138283,varswap,SPX,1m
20180601,0.125629,varswap,SPX,1m
20180604,0.117971,varswap,SPX,1m
20180605,0.119121,varswap,SPX,1m
20180606,0.106805,varswap,SPX,1m
20180607,0.115895,varswap,SPX,1m
20180608,0.118039,varswap,SPX,1m
20180611,0.113269,varswap,SPX,1m
20180612,0.112386,varswap,SPX,1m
20180613,0.117411,varswap,SPX,1m
20180614,0.111667,varswap,SPX,1m
20180615,0.113438,varswap,SPX,1m
20180618,0.112498,varswap,SPX,1m
20180619,0.119599,varswap,SPX,1m
20180620,0.116299,varswap,SPX,1m
20180621,0.136351,varswap,SPX,1m
20180622,0.13335,varswap,SPX,1m
20180625,0.165515,varswap,SPX,1m
20180626,0.152478,varswap,SPX,1m
20180627,0.17426,varswap,SPX,1m
20180628,0.16324,varswap,SPX,1m
20180629,0.152337,varswap,SPX,1m
20180702,0.139999,varswap,SPX,1m
20180703,0.146684,varswap,SPX,1m
20180705,0.132664,varswap,SPX,1m
20180706,0.122693,varswap,SPX,1m
20180709,0.109839,varswap,SPX,1m
20180710,0.110705,varswap,SPX,1m
20180711,0.122494,varswap,SPX,1m
20180712,0.111754,varswap,SPX,1m
20180713,0.111029,varswap,SPX,1m
20180716,0.109629,varswap,SPX,1m
20180717,0.105716,varswap,SPX,1m
20180718,0.104881,varswap,SPX,1m
20180719,0.113065,varswap,SPX,1m
20180720,0.113835,varswap,SPX,1m
20180723,0.11081,varswap,SPX,1m
20180724,0.111405,varswap,SPX,1m
20180725,0.108997,varswap,SPX,1m
20180726,0.111894,varswap,SPX,1m
20180727,0.119643,varswap,SPX,1m
20180730,0.126339,varswap,SPX,1m
20180731,0.114862,varswap,SPX,1m
20180801,0.118472,varswap,SPX,1m
20180802,0.110249,varswap,SPX,1m
20180803,0.106702,varswap,SPX,1m
